score,area,title,company,location,work_mode,employment_type,seniority,areas,source,posted_at,url
55,ld,Samostojni skrbnik za razvoj kadrov (m/ž),NLB Lease&Go d.o.o.,Ljubljana,onsite,permanent,mid,ld,mojedelo,2026-09-10,https://www.mojedelo.com/job-ad/samostojni-skrbnik-za-razvoj-kadrov-m-z/c652bb02-a326-418b-b1fa-1c3206c7aa02
48,ld,SAMOSTOJNI STROKOVNI SODELAVEC ZA KADRE - SEKTOR ZA PRAVNE IN KADROVSKE ZADEVE - M/Ž,Center za socialno delo Ljubljana,LJUBLJANA,onsite,fixed-term,mid,"ld,hr",zrsz,2026-09-21,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3481480/#/pdm/3481480
47,hr,E097030 KADROVIK VII/1 - M/Ž,ZDRAVSTVENI DOM DOMŽALE,DOMŽALE,onsite,permanent,unknown,hr,zrsz,2026-09-14,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3477734/#/pdm/3477734
47,ld,Senior HR Operations Specialist (m/ž),Banka Intesa Sanpaolo d. d.,Ljubljana,onsite,permanent,senior,"ld,hr",mojedelo,2026-09-10,https://www.mojedelo.com/job-ad/senior-hr-operations-specialist-m-z/26b7c951-1825-44d5-b5a8-2087bc2cc44e
44,projects,KOORDINATOR PROJEKTA PP00001.00 - M/Ž,Institut »Jožef Stefan«,LJUBLJANA,onsite,fixed-term,unknown,projects,zrsz,2026-09-10,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3476460/#/pdm/3476460
44,projects,PROJEKTNI VODJA - M/Ž,TEHNOLOŠKI PARK LJUBLJANA D.O.O.,LJUBLJANA,onsite,fixed-term,senior,projects,zrsz,2026-09-04,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3472201/#/pdm/3472201
40,ld,Digital Marketing and Training Coordinator,Inštitut za računovodstvo,"Brezovica pri Ljubljani, Brezovica, Slovenia",onsite,unknown,unknown,ld,linkedin,2026-09-10,https://si.linkedin.com/jobs/view/digital-marketing-and-training-coordinator-at-in%C5%A1titut-za-ra%C4%8Dunovodstvo-4465631858
40,hr,E097030 KADROVIK VII/1 - M/Ž,ZDRAVSTVENI DOM DOMŽALE,DOMŽALE,onsite,fixed-term,unknown,hr,zrsz,2026-09-14,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3477740/#/pdm/3477740
40,projects,GO27910 VODJA PROJEKTOV - M/Ž,MESTNO GLEDALIŠČE LJUBLJANSKO,LJUBLJANA,onsite,part-time,senior,projects,zrsz,2026-09-15,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3478496/#/pdm/3478496
40,ld,Office Manager,Kaching d.o.o.,Ljubljana,onsite,unknown,unknown,ld,mojedelo,2026-09-09,https://www.mojedelo.com/job-ad/office-manager/1ecb9f16-1e00-463a-b22b-a07584076637
